Row_Label,Dataset_ID,Visualization_Type,Model,ECR_Item,ECR_Brier
Vis-2E Claude,2E,Color_Map,Claude,ECR_1,0.0324
Vis-2E GPT,2E,Color_Map,GPT,ECR_1,0.0256
Vis-2E Gemini,2E,Color_Map,Gemini,ECR_1,0.0
Vis-2F Claude,2F,Color_Map,Claude,ECR_1,0.0064
Vis-2F GPT,2F,Color_Map,GPT,ECR_1,0.0016
Vis-2F Gemini,2F,Color_Map,Gemini,ECR_1,0.0
Vis-2G Claude,2G,Color_Map,Claude,ECR_1,0.0225
Vis-2G GPT,2G,Color_Map,GPT,ECR_1,0.0049
Vis-2G Gemini,2G,Color_Map,Gemini,ECR_1,0.0
Vis-2H Claude,2H,Color_Map,Claude,ECR_1,0.0225
Vis-2H GPT,2H,Color_Map,GPT,ECR_1,0.0049
Vis-2H Gemini,2H,Color_Map,Gemini,ECR_1,0.0
Vis-2I Claude,2I,Color_Map,Claude,ECR_1,0.2025
Vis-2I GPT,2I,Color_Map,GPT,ECR_1,0.0049
Vis-2I Gemini,2I,Color_Map,Gemini,ECR_1,0.0025
Vis-2J Claude,2J,Color_Map,Claude,ECR_1,0.0225
Vis-2J GPT,2J,Color_Map,GPT,ECR_1,0.0049
Vis-2J Gemini,2J,Color_Map,Gemini,ECR_1,0.0
Vis-3A Claude,3A,Isoline,Claude,ECR_1,0.3844
Vis-3A GPT,3A,Isoline,GPT,ECR_1,0.0064
Vis-3A Gemini,3A,Isoline,Gemini,ECR_1,0.0
Vis-3B Claude,3B,Isoline,Claude,ECR_1,0.01
Vis-3B GPT,3B,Isoline,GPT,ECR_1,0.0064
Vis-3B Gemini,3B,Isoline,Gemini,ECR_1,0.0
Vis-3C Claude,3C,Isoline,Claude,ECR_1,0.0625
Vis-3C GPT,3C,Isoline,GPT,ECR_1,0.0064
Vis-3C Gemini,3C,Isoline,Gemini,ECR_1,0.0
Vis-3D Claude,3D,Isoline,Claude,ECR_1,0.04
Vis-3D GPT,3D,Isoline,GPT,ECR_1,0.6241
Vis-3D Gemini,3D,Isoline,Gemini,ECR_1,0.0
Vis-3E Claude,3E,Isoline,Claude,ECR_1,0.0064
Vis-3E GPT,3E,Isoline,GPT,ECR_1,0.0036
Vis-3E Gemini,3E,Isoline,Gemini,ECR_1,0.0
Vis-3F Claude,3F,Isoline,Claude,ECR_1,0.0784
Vis-3F GPT,3F,Isoline,GPT,ECR_1,0.0025
Vis-3F Gemini,3F,Isoline,Gemini,ECR_1,0.9025
Vis-3G Claude,3G,Isoline,Claude,ECR_1,0.01
Vis-3G GPT,3G,Isoline,GPT,ECR_1,0.0004
Vis-3G Gemini,3G,Isoline,Gemini,ECR_1,0.0
Vis-3H Claude,3H,Isoline,Claude,ECR_1,0.0225
Vis-3H GPT,3H,Isoline,GPT,ECR_1,0.01
Vis-3H Gemini,3H,Isoline,Gemini,ECR_1,0.0
Vis-3I Claude,3I,Isoline,Claude,ECR_1,0.0324
Vis-3I GPT,3I,Isoline,GPT,ECR_1,0.0144
Vis-3I Gemini,3I,Isoline,Gemini,ECR_1,0.0
Vis-3J Claude,3J,Isoline,Claude,ECR_1,0.0225
Vis-3J GPT,3J,Isoline,GPT,ECR_1,0.0025
Vis-3J Gemini,3J,Isoline,Gemini,ECR_1,0.0
Vis-4A Claude,4A,Arrow_Glyph,Claude,ECR_1,0.1225
Vis-4A GPT,4A,Arrow_Glyph,GPT,ECR_1,0.0121
Vis-4A Gemini,4A,Arrow_Glyph,Gemini,ECR_1,0.0
Vis-4B Claude,4B,Arrow_Glyph,Claude,ECR_1,0.0324
Vis-4B GPT,4B,Arrow_Glyph,GPT,ECR_1,0.01
Vis-4B Gemini,4B,Arrow_Glyph,Gemini,ECR_1,0.0
Vis-4C Claude,4C,Arrow_Glyph,Claude,ECR_1,0.0025
Vis-4C GPT,4C,Arrow_Glyph,GPT,ECR_1,0.0016
Vis-4C Gemini,4C,Arrow_Glyph,Gemini,ECR_1,0.0
Vis-4D Claude,4D,Arrow_Glyph,Claude,ECR_1,0.0025
Vis-4D GPT,4D,Arrow_Glyph,GPT,ECR_1,0.0529
Vis-4D Gemini,4D,Arrow_Glyph,Gemini,ECR_1,0.0
Vis-4E Claude,4E,Arrow_Glyph,Claude,ECR_1,0.0784
Vis-4E GPT,4E,Arrow_Glyph,GPT,ECR_1,0.0144
Vis-4E Gemini,4E,Arrow_Glyph,Gemini,ECR_1,0.0
Vis-4F Claude,4F,Arrow_Glyph,Claude,ECR_1,0.0025
Vis-4F GPT,4F,Arrow_Glyph,GPT,ECR_1,0.01
Vis-4F Gemini,4F,Arrow_Glyph,Gemini,ECR_1,0.0
Vis-4G Claude,4G,Arrow_Glyph,Claude,ECR_1,0.0324
Vis-4G GPT,4G,Arrow_Glyph,GPT,ECR_1,0.01
Vis-4G Gemini,4G,Arrow_Glyph,Gemini,ECR_1,0.0
Vis-4H Claude,4H,Arrow_Glyph,Claude,ECR_1,0.0784
Vis-4H GPT,4H,Arrow_Glyph,GPT,ECR_1,0.0016
Vis-4H Gemini,4H,Arrow_Glyph,Gemini,ECR_1,0.0
Vis-4I Claude,4I,Arrow_Glyph,Claude,ECR_1,0.16
Vis-4I GPT,4I,Arrow_Glyph,GPT,ECR_1,0.0064
Vis-4I Gemini,4I,Arrow_Glyph,Gemini,ECR_1,0.0
Vis-4J Claude,4J,Arrow_Glyph,Claude,ECR_1,0.0225
Vis-4J GPT,4J,Arrow_Glyph,GPT,ECR_1,0.0324
Vis-4J Gemini,4J,Arrow_Glyph,Gemini,ECR_1,0.0
Vis-1A Claude,1A,Line_Graph,Claude,ECR_2,0.0009
Vis-1A GPT,1A,Line_Graph,GPT,ECR_2,0.0009
Vis-1A Gemini,1A,Line_Graph,Gemini,ECR_2,0.0
Vis-1B Claude,1B,Line_Graph,Claude,ECR_2,0.0064
Vis-1B GPT,1B,Line_Graph,GPT,ECR_2,0.0001
Vis-1B Gemini,1B,Line_Graph,Gemini,ECR_2,0.0
Vis-1C Claude,1C,Line_Graph,Claude,ECR_2,0.0009
Vis-1C GPT,1C,Line_Graph,GPT,ECR_2,0.0001
Vis-1C Gemini,1C,Line_Graph,Gemini,ECR_2,0.0
Vis-1D Claude,1D,Line_Graph,Claude,ECR_2,0.0001
Vis-1D GPT,1D,Line_Graph,GPT,ECR_2,0.0001
Vis-1D Gemini,1D,Line_Graph,Gemini,ECR_2,0.0
Vis-1E Claude,1E,Line_Graph,Claude,ECR_2,0.0001
Vis-1E GPT,1E,Line_Graph,GPT,ECR_2,0.0004
Vis-1E Gemini,1E,Line_Graph,Gemini,ECR_2,0.0
Vis-1F Claude,1F,Line_Graph,Claude,ECR_2,0.0009
Vis-1F GPT,1F,Line_Graph,GPT,ECR_2,0.0001
Vis-1F Gemini,1F,Line_Graph,Gemini,ECR_2,0.0
Vis-1G Claude,1G,Line_Graph,Claude,ECR_2,0.0009
Vis-1G GPT,1G,Line_Graph,GPT,ECR_2,0.0001
Vis-1G Gemini,1G,Line_Graph,Gemini,ECR_2,0.0
Vis-1H Claude,1H,Line_Graph,Claude,ECR_2,0.0025
Vis-1H GPT,1H,Line_Graph,GPT,ECR_2,0.0001
Vis-1H Gemini,1H,Line_Graph,Gemini,ECR_2,0.0
Vis-1I Claude,1I,Line_Graph,Claude,ECR_2,0.0001
Vis-1I GPT,1I,Line_Graph,GPT,ECR_2,0.0001
Vis-1I Gemini,1I,Line_Graph,Gemini,ECR_2,0.0
Vis-1J Claude,1J,Line_Graph,Claude,ECR_2,0.0001
Vis-1J GPT,1J,Line_Graph,GPT,ECR_2,0.0001
Vis-1J Gemini,1J,Line_Graph,Gemini,ECR_2,0.0
Vis-2A Claude,2A,Color_Map,Claude,ECR_2,0.0025
Vis-2A GPT,2A,Color_Map,GPT,ECR_2,0.0009
Vis-2A Gemini,2A,Color_Map,Gemini,ECR_2,0.0
Vis-2B Claude,2B,Color_Map,Claude,ECR_2,0.0001
Vis-2B GPT,2B,Color_Map,GPT,ECR_2,0.0001
Vis-2B Gemini,2B,Color_Map,Gemini,ECR_2,0.0
Vis-2C Claude,2C,Color_Map,Claude,ECR_2,0.0009
Vis-2C GPT,2C,Color_Map,GPT,ECR_2,0.0009
Vis-2C Gemini,2C,Color_Map,Gemini,ECR_2,0.0
Vis-2D Claude,2D,Color_Map,Claude,ECR_2,0.0025
Vis-2D GPT,2D,Color_Map,GPT,ECR_2,0.0025
Vis-2D Gemini,2D,Color_Map,Gemini,ECR_2,0.0
Vis-2E Claude,2E,Color_Map,Claude,ECR_2,0.0001
Vis-2E GPT,2E,Color_Map,GPT,ECR_2,0.0001
Vis-2E Gemini,2E,Color_Map,Gemini,ECR_2,0.0
Vis-2F Claude,2F,Color_Map,Claude,ECR_2,0.0064
Vis-2F GPT,2F,Color_Map,GPT,ECR_2,0.0025
Vis-2F Gemini,2F,Color_Map,Gemini,ECR_2,0.0
Vis-2G Claude,2G,Color_Map,Claude,ECR_2,0.0001
Vis-2G GPT,2G,Color_Map,GPT,ECR_2,0.0001
Vis-2G Gemini,2G,Color_Map,Gemini,ECR_2,0.0
Vis-2H Claude,2H,Color_Map,Claude,ECR_2,0.0004
Vis-2H GPT,2H,Color_Map,GPT,ECR_2,0.0004
Vis-2H Gemini,2H,Color_Map,Gemini,ECR_2,0.0
Vis-2I Claude,2I,Color_Map,Claude,ECR_2,0.0009
Vis-2I GPT,2I,Color_Map,GPT,ECR_2,0.0004
Vis-2I Gemini,2I,Color_Map,Gemini,ECR_2,0.0
Vis-2J Claude,2J,Color_Map,Claude,ECR_2,0.0009
Vis-2J GPT,2J,Color_Map,GPT,ECR_2,0.0004
Vis-2J Gemini,2J,Color_Map,Gemini,ECR_2,0.0
Vis-3A Claude,3A,Isoline,Claude,ECR_2,0.0004
Vis-3A GPT,3A,Isoline,GPT,ECR_2,0.0004
Vis-3A Gemini,3A,Isoline,Gemini,ECR_2,0.0
Vis-3B Claude,3B,Isoline,Claude,ECR_2,0.0009
Vis-3B GPT,3B,Isoline,GPT,ECR_2,0.0016
Vis-3B Gemini,3B,Isoline,Gemini,ECR_2,0.0
Vis-3C Claude,3C,Isoline,Claude,ECR_2,0.0009
Vis-3C GPT,3C,Isoline,GPT,ECR_2,0.0001
Vis-3C Gemini,3C,Isoline,Gemini,ECR_2,0.0
Vis-3D Claude,3D,Isoline,Claude,ECR_2,0.0001
Vis-3D GPT,3D,Isoline,GPT,ECR_2,0.0004
Vis-3D Gemini,3D,Isoline,Gemini,ECR_2,0.0
Vis-3E Claude,3E,Isoline,Claude,ECR_2,0.0009
Vis-3E GPT,3E,Isoline,GPT,ECR_2,0.0016
Vis-3E Gemini,3E,Isoline,Gemini,ECR_2,0.0
Vis-3F Claude,3F,Isoline,Claude,ECR_2,0.0009
Vis-3F GPT,3F,Isoline,GPT,ECR_2,0.0016
Vis-3F Gemini,3F,Isoline,Gemini,ECR_2,0.0
Vis-3G Claude,3G,Isoline,Claude,ECR_2,0.0064
Vis-3G GPT,3G,Isoline,GPT,ECR_2,0.0036
Vis-3G Gemini,3G,Isoline,Gemini,ECR_2,0.0
Vis-3H Claude,3H,Isoline,Claude,ECR_2,0.0009
Vis-3H GPT,3H,Isoline,GPT,ECR_2,0.0001
Vis-3H Gemini,3H,Isoline,Gemini,ECR_2,0.0
Vis-3I Claude,3I,Isoline,Claude,ECR_2,0.0064
Vis-3I GPT,3I,Isoline,GPT,ECR_2,0.0004
Vis-3I Gemini,3I,Isoline,Gemini,ECR_2,0.0
Vis-3J Claude,3J,Isoline,Claude,ECR_2,0.0009
Vis-3J GPT,3J,Isoline,GPT,ECR_2,0.0064
Vis-3J Gemini,3J,Isoline,Gemini,ECR_2,0.0
Vis-4A Claude,4A,Arrow_Glyph,Claude,ECR_2,0.0324
Vis-4A GPT,4A,Arrow_Glyph,GPT,ECR_2,0.0081
Vis-4A Gemini,4A,Arrow_Glyph,Gemini,ECR_2,0.0025
Vis-4B Claude,4B,Arrow_Glyph,Claude,ECR_2,0.01
Vis-4B GPT,4B,Arrow_Glyph,GPT,ECR_2,0.0025
Vis-4B Gemini,4B,Arrow_Glyph,Gemini,ECR_2,0.0
Vis-4C Claude,4C,Arrow_Glyph,Claude,ECR_2,0.0009
Vis-4C GPT,4C,Arrow_Glyph,GPT,ECR_2,0.0004
Vis-4C Gemini,4C,Arrow_Glyph,Gemini,ECR_2,0.0
Vis-4D Claude,4D,Arrow_Glyph,Claude,ECR_2,0.0064
Vis-4D GPT,4D,Arrow_Glyph,GPT,ECR_2,0.0004
Vis-4D Gemini,4D,Arrow_Glyph,Gemini,ECR_2,0.0
Vis-4E Claude,4E,Arrow_Glyph,Claude,ECR_2,0.0144
Vis-4E GPT,4E,Arrow_Glyph,GPT,ECR_2,0.0025
Vis-4E Gemini,4E,Arrow_Glyph,Gemini,ECR_2,0.0
Vis-4F Claude,4F,Arrow_Glyph,Claude,ECR_2,0.0009
Vis-4F GPT,4F,Arrow_Glyph,GPT,ECR_2,0.0001
Vis-4F Gemini,4F,Arrow_Glyph,Gemini,ECR_2,0.0
Vis-4G Claude,4G,Arrow_Glyph,Claude,ECR_2,0.0009
Vis-4G GPT,4G,Arrow_Glyph,GPT,ECR_2,0.0004
Vis-4G Gemini,4G,Arrow_Glyph,Gemini,ECR_2,0.0
Vis-4H Claude,4H,Arrow_Glyph,Claude,ECR_2,0.0001
Vis-4H GPT,4H,Arrow_Glyph,GPT,ECR_2,0.0001
Vis-4H Gemini,4H,Arrow_Glyph,Gemini,ECR_2,0.0
Vis-4I Claude,4I,Arrow_Glyph,Claude,ECR_2,0.0009
Vis-4I GPT,4I,Arrow_Glyph,GPT,ECR_2,0.0025
Vis-4I Gemini,4I,Arrow_Glyph,Gemini,ECR_2,0.0
Vis-4J Claude,4J,Arrow_Glyph,Claude,ECR_2,0.0004
Vis-4J GPT,4J,Arrow_Glyph,GPT,ECR_2,0.0004
Vis-4J Gemini,4J,Arrow_Glyph,Gemini,ECR_2,0.0
Vis-1A Claude,1A,Line_Graph,Claude,ECR_3,0.0025
Vis-1A GPT,1A,Line_Graph,GPT,ECR_3,0.0025
Vis-1A Gemini,1A,Line_Graph,Gemini,ECR_3,0.0
Vis-1B Claude,1B,Line_Graph,Claude,ECR_3,0.01
Vis-1B GPT,1B,Line_Graph,GPT,ECR_3,0.0036
Vis-1B Gemini,1B,Line_Graph,Gemini,ECR_3,0.0
Vis-1C Claude,1C,Line_Graph,Claude,ECR_3,0.04
Vis-1C GPT,1C,Line_Graph,GPT,ECR_3,0.0001
Vis-1C Gemini,1C,Line_Graph,Gemini,ECR_3,0.0
Vis-1D Claude,1D,Line_Graph,Claude,ECR_3,0.0001
Vis-1D GPT,1D,Line_Graph,GPT,ECR_3,0.0001
Vis-1D Gemini,1D,Line_Graph,Gemini,ECR_3,0.0
Vis-1E Claude,1E,Line_Graph,Claude,ECR_3,0.01
Vis-1E GPT,1E,Line_Graph,GPT,ECR_3,0.0016
Vis-1E Gemini,1E,Line_Graph,Gemini,ECR_3,0.0
Vis-1F Claude,1F,Line_Graph,Claude,ECR_3,0.0064
Vis-1F GPT,1F,Line_Graph,GPT,ECR_3,0.0009
Vis-1F Gemini,1F,Line_Graph,Gemini,ECR_3,0.0
Vis-1G Claude,1G,Line_Graph,Claude,ECR_3,0.0004
Vis-1G GPT,1G,Line_Graph,GPT,ECR_3,0.0004
Vis-1G Gemini,1G,Line_Graph,Gemini,ECR_3,0.0
Vis-1H Claude,1H,Line_Graph,Claude,ECR_3,0.0009
Vis-1H GPT,1H,Line_Graph,GPT,ECR_3,0.0016
Vis-1H Gemini,1H,Line_Graph,Gemini,ECR_3,0.0
Vis-1I Claude,1I,Line_Graph,Claude,ECR_3,0.0004
Vis-1I GPT,1I,Line_Graph,GPT,ECR_3,0.0001
Vis-1I Gemini,1I,Line_Graph,Gemini,ECR_3,0.0
Vis-1J Claude,1J,Line_Graph,Claude,ECR_3,0.0009
Vis-1J GPT,1J,Line_Graph,GPT,ECR_3,0.0001
Vis-1J Gemini,1J,Line_Graph,Gemini,ECR_3,0.0
Vis-2A Claude,2A,Color_Map,Claude,ECR_3,0.0025
Vis-2A GPT,2A,Color_Map,GPT,ECR_3,0.0016
Vis-2A Gemini,2A,Color_Map,Gemini,ECR_3,0.0
Vis-2B Claude,2B,Color_Map,Claude,ECR_3,0.0625
Vis-2B GPT,2B,Color_Map,GPT,ECR_3,0.0036
Vis-2B Gemini,2B,Color_Map,Gemini,ECR_3,1.0
Vis-2C Claude,2C,Color_Map,Claude,ECR_3,0.0064
Vis-2C GPT,2C,Color_Map,GPT,ECR_3,0.0081
Vis-2C Gemini,2C,Color_Map,Gemini,ECR_3,0.0
Vis-2D Claude,2D,Color_Map,Claude,ECR_3,0.0064
Vis-2D GPT,2D,Color_Map,GPT,ECR_3,0.0025
Vis-2D Gemini,2D,Color_Map,Gemini,ECR_3,0.0
Vis-2E Claude,2E,Color_Map,Claude,ECR_3,0.0025
Vis-2E GPT,2E,Color_Map,GPT,ECR_3,0.0004
Vis-2E Gemini,2E,Color_Map,Gemini,ECR_3,0.0
Vis-2F Claude,2F,Color_Map,Claude,ECR_3,0.01
Vis-2F GPT,2F,Color_Map,GPT,ECR_3,0.0025
Vis-2F Gemini,2F,Color_Map,Gemini,ECR_3,0.0
Vis-2G Claude,2G,Color_Map,Claude,ECR_3,0.0001
Vis-2G GPT,2G,Color_Map,GPT,ECR_3,0.0009
Vis-2G Gemini,2G,Color_Map,Gemini,ECR_3,0.0
Vis-2H Claude,2H,Color_Map,Claude,ECR_3,0.0001
Vis-2H GPT,2H,Color_Map,GPT,ECR_3,0.0001
Vis-2H Gemini,2H,Color_Map,Gemini,ECR_3,0.0
Vis-2I Claude,2I,Color_Map,Claude,ECR_3,0.0004
Vis-2I GPT,2I,Color_Map,GPT,ECR_3,0.0004
Vis-2I Gemini,2I,Color_Map,Gemini,ECR_3,0.0
Vis-2J Claude,2J,Color_Map,Claude,ECR_3,0.0025
Vis-2J GPT,2J,Color_Map,GPT,ECR_3,0.0025
Vis-2J Gemini,2J,Color_Map,Gemini,ECR_3,0.0
Vis-3A Claude,3A,Isoline,Claude,ECR_3,0.0025
Vis-3A GPT,3A,Isoline,GPT,ECR_3,0.0001
Vis-3A Gemini,3A,Isoline,Gemini,ECR_3,0.0
Vis-3B Claude,3B,Isoline,Claude,ECR_3,0.0025
Vis-3B GPT,3B,Isoline,GPT,ECR_3,0.0001
Vis-3B Gemini,3B,Isoline,Gemini,ECR_3,0.0
Vis-3C Claude,3C,Isoline,Claude,ECR_3,0.01
Vis-3C GPT,3C,Isoline,GPT,ECR_3,0.0004
Vis-3C Gemini,3C,Isoline,Gemini,ECR_3,0.0
Vis-3D Claude,3D,Isoline,Claude,ECR_3,0.0001
Vis-3D GPT,3D,Isoline,GPT,ECR_3,0.0009
Vis-3D Gemini,3D,Isoline,Gemini,ECR_3,0.0
Vis-3E Claude,3E,Isoline,Claude,ECR_3,0.0004
Vis-3E GPT,3E,Isoline,GPT,ECR_3,0.0004
Vis-3E Gemini,3E,Isoline,Gemini,ECR_3,0.0
Vis-3F Claude,3F,Isoline,Claude,ECR_3,0.0064
Vis-3F GPT,3F,Isoline,GPT,ECR_3,0.0009
Vis-3F Gemini,3F,Isoline,Gemini,ECR_3,0.0
Vis-3G Claude,3G,Isoline,Claude,ECR_3,0.0009
Vis-3G GPT,3G,Isoline,GPT,ECR_3,0.0016
Vis-3G Gemini,3G,Isoline,Gemini,ECR_3,0.0
Vis-3H Claude,3H,Isoline,Claude,ECR_3,0.0064
Vis-3H GPT,3H,Isoline,GPT,ECR_3,0.0064
Vis-3H Gemini,3H,Isoline,Gemini,ECR_3,0.0
Vis-3I Claude,3I,Isoline,Claude,ECR_3,0.0064
Vis-3I GPT,3I,Isoline,GPT,ECR_3,0.0004
Vis-3I Gemini,3I,Isoline,Gemini,ECR_3,0.0
Vis-3J Claude,3J,Isoline,Claude,ECR_3,0.0009
Vis-3J GPT,3J,Isoline,GPT,ECR_3,0.0001
Vis-3J Gemini,3J,Isoline,Gemini,ECR_3,0.0
Vis-4A Claude,4A,Arrow_Glyph,Claude,ECR_3,0.0625
Vis-4A GPT,4A,Arrow_Glyph,GPT,ECR_3,0.0036
Vis-4A Gemini,4A,Arrow_Glyph,Gemini,ECR_3,0.0
Vis-4B Claude,4B,Arrow_Glyph,Claude,ECR_3,0.1225
Vis-4B GPT,4B,Arrow_Glyph,GPT,ECR_3,0.0016
Vis-4B Gemini,4B,Arrow_Glyph,Gemini,ECR_3,0.0
Vis-4C Claude,4C,Arrow_Glyph,Claude,ECR_3,0.0025
Vis-4C GPT,4C,Arrow_Glyph,GPT,ECR_3,0.0025
Vis-4C Gemini,4C,Arrow_Glyph,Gemini,ECR_3,0.0
Vis-4D Claude,4D,Arrow_Glyph,Claude,ECR_3,0.09
Vis-4D GPT,4D,Arrow_Glyph,GPT,ECR_3,0.0064
Vis-4D Gemini,4D,Arrow_Glyph,Gemini,ECR_3,0.0
Vis-4E Claude,4E,Arrow_Glyph,Claude,ECR_3,0.0025
Vis-4E GPT,4E,Arrow_Glyph,GPT,ECR_3,0.0009
Vis-4E Gemini,4E,Arrow_Glyph,Gemini,ECR_3,0.0
Vis-4F Claude,4F,Arrow_Glyph,Claude,ECR_3,0.0009
Vis-4F GPT,4F,Arrow_Glyph,GPT,ECR_3,0.0025
Vis-4F Gemini,4F,Arrow_Glyph,Gemini,ECR_3,0.0
Vis-4G Claude,4G,Arrow_Glyph,Claude,ECR_3,0.0009
Vis-4G GPT,4G,Arrow_Glyph,GPT,ECR_3,0.0009
Vis-4G Gemini,4G,Arrow_Glyph,Gemini,ECR_3,0.0
Vis-4H Claude,4H,Arrow_Glyph,Claude,ECR_3,0.1444
Vis-4H GPT,4H,Arrow_Glyph,GPT,ECR_3,0.0049
Vis-4H Gemini,4H,Arrow_Glyph,Gemini,ECR_3,0.0
Vis-4I Claude,4I,Arrow_Glyph,Claude,ECR_3,0.0025
Vis-4I GPT,4I,Arrow_Glyph,GPT,ECR_3,0.0009
Vis-4I Gemini,4I,Arrow_Glyph,Gemini,ECR_3,0.0
Vis-4J Claude,4J,Arrow_Glyph,Claude,ECR_3,0.0004
Vis-4J GPT,4J,Arrow_Glyph,GPT,ECR_3,0.0009
Vis-4J Gemini,4J,Arrow_Glyph,Gemini,ECR_3,0.0
