Row_Label,Row_Brier,Accuracy,Modality,Dataset_ID,Visualization_Type,Model
Dat-1J Claude,0.038933,1,Dat,1J,1,Claude
Par-1J Claude,0.030533,0.8333333333,Par,1J,1,Claude
Vis-1J GPT,0.002633,1,Vis,1J,1,GPT
Dat-1J GPT,0.002117,1,Dat,1J,1,GPT
Par-1J GPT,0.002433,1,Par,1J,1,GPT
Vis-1J Gemini,0.166667,0.8333333333,Vis,1J,1,Gemini
Dat-1J Gemini,0.150417,0.8333333333,Dat,1J,1,Gemini
Par-1J Gemini,0.000000,1,Par,1J,1,Gemini
Vis-2A Claude,0.059983,1,Vis,2A,2,Claude
Dat-2A Claude,0.001467,1,Dat,2A,2,Claude
Par-2A Claude,0.002617,1,Par,2A,2,Claude
Vis-2A GPT,0.014783,1,Vis,2A,2,GPT
Dat-2A GPT,0.000567,1,Dat,2A,2,GPT
Par-2A GPT,0.000300,1,Par,2A,2,GPT
Vis-2A Gemini,0.001667,1,Vis,2A,2,Gemini
Dat-2A Gemini,0.000417,1,Dat,2A,2,Gemini
Par-2A Gemini,0.000417,1,Par,2A,2,Gemini
Vis-2B Claude,0.182650,0.8333333333,Vis,2B,2,Claude
Dat-2B Claude,0.119167,0.8333333333,Dat,2B,2,Claude
Par-2B Claude,0.017800,1,Par,2B,2,Claude
Vis-2B GPT,0.266617,0.6666666667,Vis,2B,2,GPT
Dat-2B GPT,0.121000,0.8333333333,Dat,2B,2,GPT
Par-2B GPT,0.412567,0.5,Par,2B,2,GPT
Vis-2B Gemini,0.452917,0.5,Vis,2B,2,Gemini
Dat-2B Gemini,0.302083,0.6666666667,Dat,2B,2,Gemini
Par-2B Gemini,0.003750,1,Par,2B,2,Gemini
Vis-2C Claude,0.115700,0.8333333333,Vis,2C,2,Claude
Dat-2C Claude,0.057833,0.8333333333,Dat,2C,2,Claude
Par-2C Claude,0.054700,1,Par,2C,2,Claude
Vis-2C GPT,0.108983,0.8333333333,Vis,2C,2,GPT
Dat-2C GPT,0.013867,1,Dat,2C,2,GPT
Par-2C GPT,0.005217,1,Par,2C,2,GPT
Vis-2C Gemini,0.122083,0.8333333333,Vis,2C,2,Gemini
Dat-2C Gemini,0.167083,0.8333333333,Dat,2C,2,Gemini
Par-2C Gemini,0.168333,0.8333333333,Par,2C,2,Gemini
Vis-2D Claude,0.166033,0.8333333333,Vis,2D,2,Claude
Dat-2D Claude,0.102150,0.8333333333,Dat,2D,2,Claude
Par-2D Claude,0.120900,0.8333333333,Par,2D,2,Claude
Vis-2D GPT,0.015650,1,Vis,2D,2,GPT
Dat-2D GPT,0.001500,1,Dat,2D,2,GPT
Par-2D GPT,0.000000,0,Par,2D,2,GPT
Vis-2D Gemini,0.002083,1,Vis,2D,2,Gemini
Dat-2D Gemini,0.150417,0.8333333333,Dat,2D,2,Gemini
Par-2D Gemini,0.166667,0.8333333333,Par,2D,2,Gemini
Vis-2E Claude,0.050733,0.8333333333,Vis,2E,2,Claude
Dat-2E Claude,0.031833,0.8333333333,Dat,2E,2,Claude
Par-2E Claude,0.054333,1,Par,2E,2,Claude
Vis-2E GPT,0.127583,0.8333333333,Vis,2E,2,GPT
Dat-2E GPT,0.126700,0.8333333333,Dat,2E,2,GPT
Par-2E GPT,0.000000,0,Par,2E,2,GPT
Vis-2E Gemini,0.300833,0.6666666667,Vis,2E,2,Gemini
Dat-2E Gemini,0.168333,0.8333333333,Dat,2E,2,Gemini
Par-2E Gemini,0.001667,1,Par,2E,2,Gemini
Vis-2F Claude,0.146017,0.8333333333,Vis,2F,2,Claude
Dat-2F Claude,0.025600,1,Dat,2F,2,Claude
Par-2F Claude,0.013683,1,Par,2F,2,Claude
Vis-2F GPT,0.009317,1,Vis,2F,2,GPT
Dat-2F GPT,0.000633,1,Dat,2F,2,GPT
Par-2F GPT,0.000000,0,Par,2F,2,GPT
Vis-2F Gemini,0.000833,1,Vis,2F,2,Gemini
Dat-2F Gemini,0.120417,0.8333333333,Dat,2F,2,Gemini
Par-2F Gemini,0.166667,0.8333333333,Par,2F,2,Gemini
Vis-2G Claude,0.088333,1,Vis,2G,2,Claude
Dat-2G Claude,0.057600,1,Dat,2G,2,Claude
Par-2G Claude,0.038750,1,Par,2G,2,Claude
Vis-2G GPT,0.005600,1,Vis,2G,2,GPT
Dat-2G GPT,0.001217,1,Dat,2G,2,GPT
Par-2G GPT,0.000000,0,Par,2G,2,GPT
Vis-2G Gemini,0.167083,0.8333333333,Vis,2G,2,Gemini
Dat-2G Gemini,0.120417,0.8333333333,Dat,2G,2,Gemini
Par-2G Gemini,0.000417,1,Par,2G,2,Gemini
Vis-2H Claude,0.089717,1,Vis,2H,2,Claude
Dat-2H Claude,0.030200,1,Dat,2H,2,Claude
Par-2H Claude,0.041450,1,Par,2H,2,Claude
Vis-2H GPT,0.005383,1,Vis,2H,2,GPT
Dat-2H GPT,0.002767,1,Dat,2H,2,GPT
Par-2H GPT,0.000000,0,Par,2H,2,GPT
Vis-2H Gemini,0.004167,1,Vis,2H,2,Gemini
Dat-2H Gemini,0.004167,1,Dat,2H,2,Gemini
Par-2H Gemini,0.004167,1,Par,2H,2,Gemini
Vis-2I Claude,0.083183,0.8333333333,Vis,2I,2,Claude
Dat-2I Claude,0.086560,0.8333333333,Dat,2I,2,Claude
Par-2I Claude,#VALUE!,x,Par,2I,2,Claude
Vis-2I GPT,0.003917,1,Vis,2I,2,GPT
Dat-2I GPT,0.002567,1,Dat,2I,2,GPT
Par-2I GPT,0.000000,0,Par,2I,2,GPT
Vis-2I Gemini,0.135833,0.8333333333,Vis,2I,2,Gemini
Dat-2I Gemini,0.001667,1,Dat,2I,2,Gemini
Par-2I Gemini,0.000417,1,Par,2I,2,Gemini
Vis-2J Claude,0.070200,1,Vis,2J,2,Claude
Dat-2J Claude,0.039667,1,Dat,2J,2,Claude
Par-2J Claude,0.064333,0.8333333333,Par,2J,2,Claude
Vis-2J GPT,0.011133,1,Vis,2J,2,GPT
Dat-2J GPT,0.000550,1,Dat,2J,2,GPT
Par-2J GPT,0.000000,0,Par,2J,2,GPT
Vis-2J Gemini,0.167083,0.8333333333,Vis,2J,2,Gemini
Dat-2J Gemini,0.166667,0.8333333333,Dat,2J,2,Gemini
Par-2J Gemini,0.166667,0.8333333333,Par,2J,2,Gemini
Vis-3A Claude,0.212017,0.6666666667,Vis,3A,3,Claude
Dat-3A Claude,0.045200,0.8333333333,Dat,3A,3,Claude
Par-3A Claude,0.045200,0.8333333333,Par,3A,3,Claude
Vis-3A GPT,0.005500,1,Vis,3A,3,GPT
Dat-3A GPT,0.000283,1,Dat,3A,3,GPT
Par-3A GPT,0.000433,1,Par,3A,3,GPT
Vis-3A Gemini,0.003750,1,Vis,3A,3,Gemini
Dat-3A Gemini,0.000417,1,Dat,3A,3,Gemini
Par-3A Gemini,0.000000,1,Par,3A,3,Gemini
Vis-3B Claude,0.079050,1,Vis,3B,3,Claude
Dat-3B Claude,0.013533,1,Dat,3B,3,Claude
Par-3B Claude,0.010867,1,Par,3B,3,Claude
Vis-3B GPT,0.009583,1,Vis,3B,3,GPT
Dat-3B GPT,0.001450,1,Dat,3B,3,GPT
Par-3B GPT,0.002183,1,Par,3B,3,GPT
Vis-3B Gemini,0.005833,1,Vis,3B,3,Gemini
Dat-3B Gemini,0.150833,0.8333333333,Dat,3B,3,Gemini
Par-3B Gemini,0.166667,0.8333333333,Par,3B,3,Gemini
Vis-3C Claude,0.078700,1,Vis,3C,3,Claude
Dat-3C Claude,0.006583,1,Dat,3C,3,Claude
Par-3C Claude,0.002617,1,Par,3C,3,Claude
Vis-3C GPT,0.005583,1,Vis,3C,3,GPT
Dat-3C GPT,0.001367,1,Dat,3C,3,GPT
Par-3C GPT,0.000900,1,Par,3C,3,GPT
Vis-3C Gemini,0.004167,1,Vis,3C,3,Gemini
Dat-3C Gemini,0.000417,1,Dat,3C,3,Gemini
Par-3C Gemini,0.000417,1,Par,3C,3,Gemini
Vis-3D Claude,0.082250,1,Vis,3D,3,Claude
Dat-3D Claude,0.040583,1,Dat,3D,3,Claude
Par-3D Claude,0.013683,1,Par,3D,3,Claude
Vis-3D GPT,0.233983,0.6666666667,Vis,3D,3,GPT
Dat-3D GPT,0.001300,1,Dat,3D,3,GPT
Par-3D GPT,0.004417,1,Par,3D,3,GPT
Vis-3D Gemini,0.001667,1,Vis,3D,3,Gemini
Dat-3D Gemini,0.000417,1,Dat,3D,3,Gemini
Par-3D Gemini,0.001667,1,Par,3D,3,Gemini
Vis-3E Claude,0.118167,0.8333333333,Vis,3E,3,Claude
Dat-3E Claude,0.048717,0.8333333333,Dat,3E,3,Claude
Par-3E Claude,0.088533,0.8333333333,Par,3E,3,Claude
Vis-3E GPT,0.116683,0.8333333333,Vis,3E,3,GPT
Dat-3E GPT,0.005900,1,Dat,3E,3,GPT
Par-3E GPT,0.012250,1,Par,3E,3,GPT
Vis-3E Gemini,0.120833,0.8333333333,Vis,3E,3,Gemini
Dat-3E Gemini,0.120417,0.8333333333,Dat,3E,3,Gemini
Par-3E Gemini,0.135000,0.8333333333,Par,3E,3,Gemini
Vis-3F Claude,0.098500,0.8333333333,Vis,3F,3,Claude
Dat-3F Claude,0.081983,0.8333333333,Dat,3F,3,Claude
Par-3F Claude,0.101633,0.8333333333,Par,3F,3,Claude
Vis-3F GPT,0.014317,1,Vis,3F,3,GPT
Dat-3F GPT,0.005100,1,Dat,3F,3,GPT
Par-3F GPT,0.017567,1,Par,3F,3,GPT
Vis-3F Gemini,0.301250,0.6666666667,Vis,3F,3,Gemini
Dat-3F Gemini,0.120833,0.8333333333,Dat,3F,3,Gemini
Par-3F Gemini,0.317083,0.6666666667,Par,3F,3,Gemini
Vis-3G Claude,0.062450,1,Vis,3G,3,Claude
Dat-3G Claude,0.012650,1,Dat,3G,3,Claude
Par-3G Claude,0.016333,1,Par,3G,3,Claude
Vis-3G GPT,0.008017,1,Vis,3G,3,GPT
Dat-3G GPT,0.001233,1,Dat,3G,3,GPT
Par-3G GPT,0.003800,1,Par,3G,3,GPT
Vis-3G Gemini,0.000417,1,Vis,3G,3,Gemini
Dat-3G Gemini,0.000417,1,Dat,3G,3,Gemini
Par-3G Gemini,0.000417,1,Par,3G,3,Gemini
Vis-3H Claude,0.070850,1,Vis,3H,3,Claude
Dat-3H Claude,0.043267,1,Dat,3H,3,Claude
Par-3H Claude,0.038617,1,Par,3H,3,Claude
Vis-3H GPT,0.224983,0.6666666667,Vis,3H,3,GPT
Dat-3H GPT,0.144300,0.8333333333,Dat,3H,3,GPT
Par-3H GPT,0.147750,0.8333333333,Par,3H,3,GPT
Vis-3H Gemini,0.168333,0.8333333333,Vis,3H,3,Gemini
Dat-3H Gemini,0.000417,1,Dat,3H,3,Gemini
Par-3H Gemini,0.000417,1,Par,3H,3,Gemini
Vis-3I Claude,0.095450,0.6666666667,Vis,3I,3,Claude
Dat-3I Claude,0.006533,1,Dat,3I,3,Claude
Par-3I Claude,0.013133,0.8333333333,Par,3I,3,Claude
Vis-3I GPT,0.013033,1,Vis,3I,3,GPT
Dat-3I GPT,0.005750,1,Dat,3I,3,GPT
Par-3I GPT,0.005683,1,Par,3I,3,GPT
Vis-3I Gemini,0.228750,0.6666666667,Vis,3I,3,Gemini
Dat-3I Gemini,0.003750,1,Dat,3I,3,Gemini
Par-3I Gemini,0.120833,0.8333333333,Par,3I,3,Gemini
Vis-3J Claude,0.047283,0.8333333333,Vis,3J,3,Claude
Dat-3J Claude,0.026800,1,Dat,3J,3,Claude
Par-3J Claude,0.025250,1,Par,3J,3,Claude
Vis-3J GPT,0.128883,0.8333333333,Vis,3J,3,GPT
Dat-3J GPT,0.002833,1,Dat,3J,3,GPT
Par-3J GPT,0.003500,1,Par,3J,3,GPT
Vis-3J Gemini,0.285417,0.6666666667,Vis,3J,3,Gemini
Dat-3J Gemini,0.003750,1,Dat,3J,3,Gemini
Par-3J Gemini,0.000417,1,Par,3J,3,Gemini
Vis-4A Claude,0.175783,1,Vis,4A,4,Claude
Dat-4A Claude,0.030067,1,Dat,4A,4,Claude
Par-4A Claude,0.015800,1,Par,4A,4,Claude
Vis-4A GPT,0.110250,0.8333333333,Vis,4A,4,GPT
Dat-4A GPT,0.015950,1,Dat,4A,4,GPT
Par-4A GPT,0.014750,1,Par,4A,4,GPT
Vis-4A Gemini,0.169167,0.8333333333,Vis,4A,4,Gemini
Dat-4A Gemini,0.000417,1,Dat,4A,4,Gemini
Par-4A Gemini,0.003750,1,Par,4A,4,Gemini
Vis-4B Claude,0.173033,0.8333333333,Vis,4B,4,Claude
Dat-4B Claude,0.008067,1,Dat,4B,4,Claude
Par-4B Claude,0.017550,1,Par,4B,4,Claude
Vis-4B GPT,0.029083,1,Vis,4B,4,GPT
Dat-4B GPT,0.165217,0.8333333333,Dat,4B,4,GPT
Par-4B GPT,0.009017,1,Par,4B,4,GPT
Vis-4B Gemini,0.167083,0.8333333333,Vis,4B,4,Gemini
Dat-4B Gemini,0.000000,1,Dat,4B,4,Gemini
Par-4B Gemini,0.000000,1,Par,4B,4,Gemini
Vis-4C Claude,0.111867,0.8333333333,Vis,4C,4,Claude
Dat-4C Claude,0.069583,0.8333333333,Dat,4C,4,Claude
Par-4C Claude,0.066533,0.8333333333,Par,4C,4,Claude
Vis-4C GPT,0.006933,1,Vis,4C,4,GPT
Dat-4C GPT,0.000367,1,Dat,4C,4,GPT
Par-4C GPT,0.150717,0.8333333333,Par,4C,4,GPT
Vis-4C Gemini,0.168750,0.8333333333,Vis,4C,4,Gemini
Dat-4C Gemini,0.150417,0.8333333333,Dat,4C,4,Gemini
Par-4C Gemini,0.167083,0.8333333333,Par,4C,4,Gemini
Vis-4D Claude,0.135700,0.6666666667,Vis,4D,4,Claude
Dat-4D Claude,0.074583,0.8333333333,Dat,4D,4,Claude
Par-4D Claude,0.082583,1,Par,4D,4,Claude
Vis-4D GPT,0.148150,0.8333333333,Vis,4D,4,GPT
Dat-4D GPT,0.130417,0.8333333333,Dat,4D,4,GPT
Par-4D GPT,0.101900,0.8333333333,Par,4D,4,GPT
Vis-4D Gemini,0.453750,0.5,Vis,4D,4,Gemini
Dat-4D Gemini,0.124167,0.8333333333,Dat,4D,4,Gemini
Par-4D Gemini,0.094167,0.8333333333,Par,4D,4,Gemini
Vis-4E Claude,0.103433,1,Vis,4E,4,Claude
Dat-4E Claude,0.193000,0.8333333333,Dat,4E,4,Claude
Par-4E Claude,0.044267,1,Par,4E,4,Claude
Vis-4E GPT,0.015300,1,Vis,4E,4,GPT
Dat-4E GPT,0.013567,1,Dat,4E,4,GPT
Par-4E GPT,0.087400,0.8333333333,Par,4E,4,GPT
Vis-4E Gemini,0.139167,0.8333333333,Vis,4E,4,Gemini
Dat-4E Gemini,0.170417,0.8333333333,Dat,4E,4,Gemini
Par-4E Gemini,0.483750,0.5,Par,4E,4,Gemini
Vis-4F Claude,0.088267,1,Vis,4F,4,Claude
Dat-4F Claude,0.206250,0.6666666667,Dat,4F,4,Claude
Par-4F Claude,0.027583,1,Par,4F,4,Claude
Vis-4F GPT,0.013050,1,Vis,4F,4,GPT
Dat-4F GPT,0.135300,0.8333333333,Dat,4F,4,GPT
Par-4F GPT,0.129750,0.8333333333,Par,4F,4,GPT
Vis-4F Gemini,0.124583,0.8333333333,Vis,4F,4,Gemini
Dat-4F Gemini,0.317083,0.6666666667,Dat,4F,4,Gemini
Par-4F Gemini,0.285833,0.6666666667,Par,4F,4,Gemini
Vis-4G Claude,0.076583,1,Vis,4G,4,Claude
Dat-4G Claude,0.058633,1,Dat,4G,4,Claude
Par-4G Claude,0.039533,1,Par,4G,4,Claude
Vis-4G GPT,0.091367,0.8333333333,Vis,4G,4,GPT
Dat-4G GPT,0.001167,1,Dat,4G,4,GPT
Par-4G GPT,0.001650,1,Par,4G,4,GPT
Vis-4G Gemini,0.003750,1,Vis,4G,4,Gemini
Dat-4G Gemini,0.000417,1,Dat,4G,4,Gemini
Par-4G Gemini,0.001667,1,Par,4G,4,Gemini
Vis-4H Claude,0.111950,0.8333333333,Vis,4H,4,Claude
Dat-4H Claude,0.030067,1,Dat,4H,4,Claude
Par-4H Claude,0.029933,1,Par,4H,4,Claude
Vis-4H GPT,0.103783,0.8333333333,Vis,4H,4,GPT
Dat-4H GPT,0.005517,1,Dat,4H,4,GPT
Par-4H GPT,0.004033,1,Par,4H,4,GPT
Vis-4H Gemini,0.167500,0.8333333333,Vis,4H,4,Gemini
Dat-4H Gemini,0.004167,1,Dat,4H,4,Gemini
Par-4H Gemini,0.000833,1,Par,4H,4,Gemini
Vis-4I Claude,0.066117,0.8333333333,Vis,4I,4,Claude
Dat-4I Claude,0.044400,1,Dat,4I,4,Claude
Par-4I Claude,0.044533,1,Par,4I,4,Claude
Vis-4I GPT,0.136367,0.8333333333,Vis,4I,4,GPT
Dat-4I GPT,0.046267,1,Dat,4I,4,GPT
Par-4I GPT,0.013750,1,Par,4I,4,GPT
Vis-4I Gemini,0.082500,0.8333333333,Vis,4I,4,Gemini
Dat-4I Gemini,0.003750,1,Dat,4I,4,Gemini
Par-4I Gemini,0.000000,1,Par,4I,4,Gemini
Vis-4J Claude,0.107100,0.8333333333,Vis,4J,4,Claude
Dat-4J Claude,0.018667,1,Dat,4J,4,Claude
Par-4J Claude,0.043917,1,Par,4J,4,Claude
Vis-4J GPT,0.009783,1,Vis,4J,4,GPT
Dat-4J GPT,0.003617,1,Dat,4J,4,GPT
Par-4J GPT,0.002200,1,Par,4J,4,GPT
Vis-4J Gemini,0.467500,0.5,Vis,4J,4,Gemini
Dat-4J Gemini,0.000417,1,Dat,4J,4,Gemini
Par-4J Gemini,0.000417,1,Par,4J,4,Gemini
